Time,kVARh,kWh,Power_Factor
401,163.859995,285.959992,0.86763
402,168.689998,283.109995,0.859041083333333
403,172.679998,269.129994,0.84159975
404,176.969998,258.839995,0.825479416666667
405,98.76,195.029997,0.893152583333333
406,52.98,142.679995,0.937667083333333
407,54,119.369998,0.910631666666667
408,54.21,125.999998,0.917985461538462
409,46.32,104.129998,0.913040545454545
410,51.09,109.17,0.905732916666667
411,50.37,112.109998,0.91172225
412,50.16,116.909995,0.918598916666667
413,50.91,109.019998,0.906067666666667
414,48.87,109.019995,0.912366166666667
415,45.03,117.959997,0.933904583333333
416,140.549997,203.129995,0.824031
417,148.049997,217.859995,0.82702625
418,159.989999,243.479993,0.8354085
419,164.039997,250.829994,0.8368955
420,165.269998,247.859995,0.831988583333333
421,165.899998,252.989993,0.836228916666667
422,166.829996,269.279993,0.8499785
423,167.219995,255.839995,0.837049083333333
424,168.509998,258.929996,0.838128
425,167.459994,259.679994,0.840289583333333
426,167.489997,245.189996,0.825283166666667
427,171.479997,219.179992,0.787550416666667
428,173.909997,215.699996,0.778458916666667
429,96.51,158.669995,0.855724416666667
430,55.35,112.29,0.897851416666667
431,45.57,106.649998,0.919574833333334
432,50.67,126.779998,0.928057
433,42.24,97.079999,0.916963636363636
434,47.1,106.049998,0.913921583333333
435,45.15,114.299997,0.929479333333333
436,43.89,108.089999,0.92620675
437,44.91,105.449999,0.920049333333333
438,44.94,112.409999,0.927986166666667
439,121.439997,181.769998,0.832906583333333
440,161.969997,230.369993,0.817897833333333
441,171.929998,248.759996,0.822266
442,166.229997,265.379995,0.847397833333333
443,169.229994,262.019994,0.84002325
444,166.169997,269.189992,0.850867166666667
445,166.619996,279.269992,0.85864175
446,168.179997,261.659994,0.84113925
447,168.329995,233.219996,0.81054475
448,163.409996,228.659994,0.8135655
449,63.479999,122.849997,0.892547333333333
450,55.62,115.319995,0.900707
451,56.73,126.269999,0.911928
452,59.22,116.279996,0.891078166666667
453,49.95,108.239999,0.908052
454,48.87,119.219999,0.9249265
455,48.33,107.219998,0.911657083333333
456,53.55,117.509999,0.909921923076923
457,43.29,109.139997,0.929319727272727
458,45.96,106.649999,0.918358333333333
459,46.32,107.579994,0.91831375
460,45.42,117.329998,0.932177333333333
461,46.08,106.949996,0.918383416666667
462,45.51,108.989999,0.922404583333333
463,43.47,117.899996,0.938160583333333
464,41.31,116.159997,0.942082
465,154.859997,223.409993,0.823815833333333
466,161.609998,241.709993,0.831150666666667
467,162.539997,234.689994,0.822090166666667
468,161.729996,238.079995,0.827054666666667
469,162.389997,244.379997,0.832677083333333
470,163.139997,235.529991,0.8220475
471,164.339998,239.399994,0.82442375
472,169.169998,248.399991,0.826428583333333
473,169.379994,238.379995,0.815164583333333
474,170.219996,236.849992,0.812033583333333
475,172.499995,236.519994,0.80757975
476,174.509996,214.049994,0.775041
477,174.419995,213.959996,0.775090916666667
478,172.109999,224.519992,0.793461083333333
479,59.07,116.58,0.898086833333333
480,51.57,116.909999,0.914936538461539
481,44.58,110.939999,0.927773181818182
482,46.53,107.399999,0.917590666666667
483,45.6,106.949997,0.919872
484,43.74,112.439998,0.931081583333333
485,44.91,110.609999,0.925994916666667
486,42.51,105.929996,0.928036916666667
