Account,Date,kVARh,kWh,Power_Factor
26429741007,12/08/2014,301.59,1996.875025,0.9884295
26429741007,12/09/2014,364.77,2102.805034,0.984842152777778
26429741007,12/10/2014,348.5475,2112.457537,0.986313149305555
26429741007,12/11/2014,321.885,2059.200035,0.987936520833333
26429741007,12/12/2014,322.6725,1929.487526,0.986209333333333
26429741007,12/13/2014,285.7725,1685.047502,0.985786805555555
26429741007,12/14/2014,292.95,1640.385001,0.984155430555555
26429741007,12/15/2014,353.2275,2053.125038,0.98545995138889
26429741007,12/16/2014,332.8875,2006.032527,0.986341777777777
26429741007,12/17/2014,338.4,2041.71753,0.986407364583334
26429741007,12/18/2014,382.005,2090.115038,0.983772659722222
26429741007,12/19/2014,300.87,1908.967532,0.970395395833333
26429741007,12/20/2014,281.4075,1652.58,0.985653722222222
26429741007,12/21/2014,311.445,1667.0925,0.982718760416667
26429741007,12/22/2014,354.555,2045.587543,0.984915607638888
26429741007,12/23/2014,291.3525,1928.272524,0.950539822916666
26429741007,12/24/2014,328.05,1859.175003,0.984532472222222
26429741007,12/25/2014,261.2475,1575.36,0.986334875
26429741007,12/26/2014,310.7925,1887.165011,0.986514833333334
26429741007,12/27/2014,304.2675,1692,0.983949625
26429741007,12/28/2014,315.3375,1673.0775,0.982420611111111
26429741007,12/29/2014,300.5775,1981.665028,0.988713003472222
26429741007,12/30/2014,286.9425,2007.225042,0.989838624999999
26429741007,12/31/2014,316.53,1952.167524,0.987011947916667
26429921005,01/01/2014,5078.069882,14143.559691,0.941090496527778
26429921005,01/02/2014,4990.799881,15269.00965,0.950051899305556
26429921005,01/03/2014,4744.049882,14339.669685,0.949312722222222
26429921005,01/04/2014,4890.809894,14048.189677,0.944365541666667
26429921005,01/05/2014,4968.959875,13541.939706,0.938662864583333
26429921005,01/06/2014,6627.779862,16505.69961,0.927892020833333
26429921005,01/07/2014,4970.339864,15792.089614,0.953261590277777
26429921005,01/08/2014,4955.339894,15875.369621,0.954045722222222
26429921005,01/09/2014,5109.41987599999,15728.309645,0.950385322916667
26429921005,01/10/2014,5398.199897,15296.279648,0.942262868055555
26429921005,01/11/2014,7039.91984599999,15490.109654,0.910332291666666
26429921005,01/12/2014,6401.339845,14694.329685,0.916762246527778
26429921005,01/13/2014,5865.419867,15969.029642,0.938533138888888
26429921005,01/14/2014,6872.609859,16560.659642,0.923001138888889
26429921005,01/15/2014,6927.209852,16746.029626,0.9232021875
26429921005,01/16/2014,7029.32984699999,16979.669623,0.923340409722222
26429921005,01/17/2014,6531.959854,16179.749639,0.927063395833334
26429921005,01/18/2014,5188.439885,12766.439681,0.881382267361111
